County,PAC,a1,a2,b1,b2,b3,b4,b5,c1,c2,c3,c4,c5,c6,d1,d2,d3,d4,e1,e2,e3,e4,f1,f2,f3,f4
玄武区,320102,12121,12,708.36,107834,0,40.97,667.39,65.24,8699,38.34,51277,38871,0,0,0,0,0,0,0,0,0,0,0,0,0
秦淮区,320104,20926,44,805.49,78271,0,63,742.49,102.24,20865,63.26,57542,37678,0,0,0,0,0,0,0,0,0,0,0,0,0
建邺区,320105,11624,7,522.86,115371,0,246.27,276.59,45.45,5476,29.3,44980,27792,0,0,0,0,0,0,0,0,0,0,0,0,0
鼓楼区,320106,22654,28,1178.65,91767,0,97.23,1081.42,127.56,24068,75.98,50526,30839,0,0,0,0,0,0,0,0,0,0,0,0,0
浦口区,320111,13695,343,822.3,110882,37.75,427.7,356.85,74.94,823,41.2,43687,29112,0,0,0,0,0,0,0,0,0,0,0,0,0
栖霞区,320113,10506,217,1286.57,190914,7.12,871.63,407.82,67.98,1719,36.02,44612,32737,0,0,0,0,0,0,0,0,0,0,0,0,0
雨花台区,320114,5583,72,491.57,116155,0.89,130.39,360.29,42.69,3225,21.13,44486,27538,0,0,0,0,0,0,0,0,0,0,0,0,0
江宁区,320115,17123,669,1652.52,139183,56.08,862.42,734.02,119.14,762,74.31,44735,28693,0,0,0,0,0,0,0,0,0,0,0,0,0
六合区,320116,11530,502,951.04,102163,56.16,554.98,339.9,93.44,635,49.08,42591,27477,0,0,0,0,0,0,0,0,0,0,0,0,0
溧水区,320117,8254,489,603.94,142961,36.24,311.29,256.41,42.44,399,31.23,40685,23748,0,0,0,0,0,0,0,0,0,0,0,0,0
高淳区,320118,5300,323,564.5,133436,38.05,281.82,244.63,42.47,537,31.25,41588,25855,0,0,0,0,0,0,0,0,0,0,0,0,0
崇安区,320202,11616,7,468.41,202863,0,24.1,444.31,23.1,14438,16.42,43295,30033,0,0,0,0,0,0,0,0,0,0,0,0,0
南长区,320203,11358,37,269.53,70789,0,75.46,194.07,38.1,15875,13.56,43295,30033,0,0,0,0,0,0,0,0,0,0,0,0,0
北塘区,320204,9713,72,272,79824,0,64.5,207.5,34.1,11000,12.56,43295,30033,0,0,0,0,0,0,0,0,0,0,0,0,0
锡山区,320205,15300,649,650.18,92598,17.78,339.84,292.56,70.28,1761,45.63,43045,21355,0,0,0,0,0,0,0,0,0,0,0,0,0
惠山区,320206,18908,817,669.16,94802,16.91,397.91,254.34,70.66,2174,45.71,43756,24047,0,0,0,0,0,0,0,0,0,0,0,0,0
滨湖区,320211,19286,411,750.08,107508,4.44,333.11,412.53,69.85,1112,35.1,44971,31175,0,0,0,0,0,0,0,0,0,0,0,0,0
江阴市,320281,37733,0,2880.86,176119,46.28,1584.42,1250.16,163.68,1658,99.76,50701,26970,29.5,2362,433,2833,36.18,30.61,38.04,204.49,58.7,14010,7502,1,1138
宜兴市,320282,27820,0,1285.66,102652,50.34,659.05,576.27,125.33,628,74.49,42750,26862,31.1,2365,603,1619,22.61,19.08,29.42,142.1,42.62,5862,2975,1,764
鼓楼区,320302,9300,6,211.77,56210,0.15,49.2,162.42,37.93,5747,29.62,29841,19357,0,0,0,0,0,0,0,0,0,0,0,0,0
云龙区,320303,12514,3,252.6,62247,1.01,30.04,221.55,41.11,3426,19.28,29841,19357,0,0,0,0,0,0,0,0,0,0,0,0,0
九里区,320304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
贾汪区,320305,3142,164,260.54,60966,20.9,132.56,107.08,42.79,690,24.19,25778,16394,0,0,0,0,0,0,0,0,0,0,0,0,0
泉山区,320311,14088,14,474.83,68037,0.41,78.3,396.12,70.31,7031,28.24,29841,19357,0,0,0,0,0,0,0,0,0,0,0,0,0
铜山区,320312,9510,409,900.42,86123,73.07,475.74,351.61,104.67,559,65.69,29522,20150,0,0,0,0,0,0,0,0,0,0,0,0,0
丰县,320321,8004,0,370.33,39124,69.53,160.32,140.48,94.72,653,56.36,21094,15678,31.1,1848,533,1345,7.51,7.5,8.22,67.67,9.53,1049,725,1,214
沛县,320322,6770,0,605.84,54394,85.59,277.91,242.34,111.47,617,66.67,25163,15951,28.4,2298,884,1388,7.63,8.46,11.34,80.64,11.4,244,385,1,335
睢宁县,320324,8264,0,451.89,44210,77.51,192.72,181.66,102.28,578,60.11,21478,12188,33,2474,1038,1471,8.31,9.33,12.82,76.95,11.81,857,311,1,411
新沂市,320381,9587,0,507.63,55891,61.93,212.36,233.34,90.91,571,54.31,22901,15312,33.5,2853,884,1358,7,9.46,10.07,70.16,11.75,443,193,1,184
邳州市,320382,12619,0,731.71,51015,104.59,313.59,313.53,143.54,689,77.63,26334,14749,30.8,3098,857,2041,11.04,10.51,13.05,99.5,13.57,577,348,1,464
天宁区,320402,17640,413,632.19,98973,8.71,187.91,435.57,63.92,4124,32.39,42736,25422,0,0,0,0,0,0,0,0,0,0,0,0,0
钟楼区,320404,15426,334,595.96,96590,2.97,211.38,381.61,61.73,4641,29.49,42351,25346,0,0,0,0,0,0,0,0,0,0,0,0,0
新北区,320411,27198,991,1050.12,152556,17.45,564.89,467.78,68.88,1353,43.44,44767,26472,0,0,0,0,0,0,0,0,0,0,0,0,0
武进区,320412,35337,1678,1830,127460,38.76,1018.98,772.26,143.62,1348,90.05,44738,25006,0,0,0,0,0,0,0,0,0,0,0,0,0
金坛区,320481,9053,436,525.49,94090,32.32,266.11,227.06,55.9,573,36.21,40002,21270,0,0,0,0,0,0,0,0,0,0,0,0,0
溧阳市,320482,9070,0,738.15,97055,46.32,367.07,324.76,76.09,496,49.42,38445,20294,33.9,2557,1022,1950,11.68,7.73,20.85,70.29,15.21,1099,944,1,378
虎丘区,320505,23054,687,1006.19,170382,2.18,671.92,332.09,59.08,1780,36.71,50275,31573,0,0,0,0,0,0,0,0,0,0,0,0,0
吴中区,320506,38507,897,949.83,84746,21.81,462.35,465.67,112.12,502,74.45,52030,31370,0,0,0,0,0,0,0,0,0,0,0,0,0
相城区,320507,22900,773,605.16,83086,11.21,298.03,295.92,72.87,1487,49.13,46108,28729,0,0,0,0,0,0,0,0,0,0,0,0,0
姑苏区,320508,38101,20,600.15,62995,0,73.09,527.06,95.2,11470,48.2,50275,31573,0,0,0,0,0,0,0,0,0,0,0,0,0
吴江区,320509,43056,1409,1540.09,118784,41.4,804.11,694.58,129.68,1048,86.26,50499,33369,0,0,0,0,0,0,0,0,0,0,0,0,0
常熟市,320581,30674,0,2044.88,135431,40.76,1064.27,939.85,151.01,1183,104.72,50413,29323,28.8,3157,3792,1323,34.46,32.9,36.97,200.87,54.87,6324,3267,1,2449
张家港市,320582,38208,0,2229.82,177987,30.34,1190.76,1008.72,125.31,1270,77.39,50618,29664,28.6,1562,3595,1792,29.72,28.75,28.4,164.7,42.57,9964,6791,1,2100
昆山市,320583,78043,0,3080.01,186582,28.88,1695.68,1355.45,165.12,1773,116.08,50749,30363,28.5,2005,4076,1330,41.94,44.61,44.08,286.82,72.77,14229,10947,1,2207
太仓市,320585,20599,0,1100.08,155159,37.21,564.53,498.34,70.95,876,45.83,50134,31488,30.4,1304,2178,1319,17.25,14.65,16.37,94.26,25.13,6449,2871,1,1093
崇川区,320602,20814,89,625.18,88364,0.2,166.89,458.08,70.85,4435,37.1,38547,22683,0,0,0,0,0,0,0,0,0,0,0,0,0
港闸区,320611,0,241,308.03,109618,1.92,178.01,128.1,28.2,1856,16.85,38547,22683,0,0,0,0,0,0,0,0,0,0,0,0,0
通州区,320612,15783,758,940.16,82330,54.49,476.75,408.92,114.19,731,70,37646,22051,0,0,0,0,0,0,0,0,0,0,0,0,0
海安县,320621,13991,0,680.44,78551,53.77,323.18,303.49,86.63,732,54.4,34445,21611,29.8,2374,835,1895,11.23,7.47,26.59,99.66,23.4,4211,2931,1,439
如东县,320623,13591,0,672.69,68506,64.97,314.83,292.9,98.2,352,62.2,34338,20275,32.7,2599,543,1154,12.77,7.45,22.9,99.38,21.5,4104,2799,1,417
启东市,320681,11344,0,803.14,84099,65.45,389.13,348.56,95.4,556,67.4,34566,28060,31.1,3576,887,883,13.97,8.71,28.88,109.3,25.1,4410,2302,1,452
如皋市,320682,15996,0,812.46,64761,60.47,401.57,350.41,125.3,795,74.5,33792,20558,30.3,3261,701,1610,18.05,10.98,29.39,147.3,31.3,3724,2326,2,905
海门市,320684,11097,0,915.02,101298,51.8,471.59,391.63,90.43,791,65.2,37404,24555,29.5,2495,702,656,13.88,9.66,28.01,108.3,27.4,4074,2401,1,513
连云区,320703,2878,59,116.54,78664,5.24,45.28,66.02,19.25,242,7.8,31919,22098,0,0,0,0,0,0,0,0,0,0,0,0,0
海州区,320706,15471,106,290.72,34653,17.72,83.08,189.92,84.15,1202,40.5,28580,20659,0,0,0,0,0,0,0,0,0,0,0,0,0
赣榆区,320707,5526,453,473.57,49384,69.97,230.27,173.33,96.11,635,57.42,25074,15384,0,0,0,0,0,0,0,0,0,0,0,0,0
东海县,320722,8625,0,393.54,40947,61.89,173.71,157.94,96.35,473,56.54,25281,17748,34.7,2990,502,1770,8.59,9.11,13.25,82.16,21.49,678,568,1,873
灌云县,320723,4390,0,300.13,37542,59.81,133.52,106.8,80.1,521,47.83,21240,13019,35.8,2624,444,856,5.83,5.94,10.26,61.3,12.78,523,671,1,251
灌南县,320724,3391,0,281.63,44682,48.23,136.86,96.54,63.19,615,36.41,22657,14557,35.9,1922,362,681,3.94,3.81,7.98,48.65,10.39,492,591,1,183
清河区,320802,9263,28,172.25,151229,0,31.13,141.12,33.73,10541,18.35,33907,19405,0,0,0,0,0,0,0,0,0,0,0,0,0
淮安区,320803,6733,374,402.74,40873,60.32,159.57,182.85,98.74,680,56.92,24109,14630,0,0,0,0,0,0,0,0,0,0,0,0,0
淮阴区,320804,6434,435,400.56,51407,66.76,169.47,164.33,78.04,597,45.69,26203,15157,0,0,0,0,0,0,0,0,0,0,0,0,0
清浦区,320811,4150,120,180.18,78169,9.71,55.66,114.81,33.41,1206,20.78,0,16551,0,0,0,0,0,0,0,0,0,0,0,0,0
涟水县,320826,5993,0,340.87,40290,53.14,132.51,155.22,84.68,504,48.73,23325,14877,33.6,2550,1403,1431,6.03,4.23,8.93,42.72,6.77,1823,999,1,133
洪泽县,320829,4647,0,230.81,68459,31.58,95.46,103.77,33.76,265,20.17,28120,13128,31.8,1523,632,260,2.03,2.26,5.37,21.25,4.55,2067,1214,1,267
盱眙县,320830,4940,0,320.13,49145,51.98,128.57,139.58,65.25,261,38.33,28359,15104,31.8,2704,1189,214,3.71,3.56,6.61,36.9,6.65,1936,1228,1,206
金湖县,320831,5553,0,216.53,65476,30.94,83.31,102.28,33.1,240,19.2,28454,18537,32.4,1481,711,1399,2.24,2.32,4.75,20.88,4.37,1634,1008,1,209
亭湖区,320902,10016,239,360.3,63685,32.03,134.97,193.3,70.44,881,40.06,33434,19228,0,0,0,0,0,0,0,0,0,0,0,0,0
盐都区,320903,6584,370,407.06,63435,41.99,206.57,158.5,64.17,632,39.94,30316,23649,0,0,0,0,0,0,0,0,0,0,0,0,0
大丰区,320921,7454,441,535.11,76167,75.36,214.44,245.31,70.32,234,45.98,28752,16508,0,0,0,0,0,0,0,0,0,0,0,0,0
响水县,320922,6595,0,244.3,48646,40.35,113.68,90.27,50.19,341,28.71,23642,10659,33.4,1798,468,447,3.44,3.35,6.44,35.48,5.96,828,327,1,81
滨海县,320923,4891,0,361.3,38359,55.97,148.98,156.35,94.1,483,56.37,24451,14831,31.9,2163,1050,1135,6.59,5.93,12.88,56.09,8.89,1758,292,1,207
阜宁县,320924,7427,0,363.2,43315,52.97,159.27,150.95,83.82,583,51.39,23528,19019,34.7,1950,1032,240,5.44,5.38,10.74,50.22,9.17,2388,204,2,400
射阳县,320925,7646,0,407.61,45737,78.41,147.61,181.59,89.1,342,56.98,24460,20842,33.4,2500,955,628,6.68,5.96,12.01,70.01,9.71,1702,240,1,238
建湖县,320981,6859,0,431.05,58483,45.19,189.25,196.61,73.71,637,44.15,27393,14867,32.1,1798,921,277,4.61,5.47,9.97,57.93,9.31,2721,979,1,250
东台市,320982,9594,0,670.23,67916,87.92,279.21,303.1,98.71,311,65.14,30330,16803,32.4,3255,321,874,8.19,7.15,19.51,68.99,12.04,2556,1267,1,274
广陵区,321002,13403,302,495.57,107569,8.05,198.55,288.97,52.86,1578,29.58,35092,27587,0,0,0,0,0,0,0,0,0,0,0,0,0
邗江区,321003,13227,406,61635,107422,18.22,257.88,340.46,68.75,1244,37.54,37275,26692,0,0,0,0,0,0,0,0,0,0,0,0,0
江都区,321012,11791,617,862.87,85636,56.6,424.81,381.46,100.77,758,61.34,33743,21628,0,0,0,0,0,0,0,0,0,0,0,0,0
宝应县,321023,6086,0,458.02,60669,65.63,204,188.39,75.54,517,41.73,24746,15102,34.1,2313,622,552,4.89,5.78,14.34,26.65,8.24,3310,1745,1,162
仪征市,321081,7668,0,408.19,76792,21.69,186.44,200.06,56.47,626,39.34,33808,19540,32,1547,373,868,5.91,6.42,17.93,30.22,9.81,2995,1634,1,364
高邮市,321084,7796,0,483.86,65420,66.34,215.53,201.98,74.01,385,45.71,29007,19427,31.6,2571,912,803,5.58,7.35,18.36,36.44,10.87,4393,2891,1,231
京口区,321102,8437,51,432.94,109259,1.46,119.72,311.76,39.65,3172,19.64,38264,24625,0,0,0,0,0,0,0,0,0,0,0,0,0
润州区,321111,6750,87,341.9,112523,1.73,124.16,216.01,30.41,2452,16.49,38264,24625,0,0,0,0,0,0,0,0,0,0,0,0,0
丹徒区,321112,6079,371,342.12,111150,17.69,180.64,143.79,30.8,499,19.74,37824,23823,0,0,0,0,0,0,0,0,0,0,0,0,0
丹阳市,321181,15965,0,1070.25,109276,50.94,540.95,478.36,98.02,936,63.13,38574,20907,33.6,2187,822,1552,13.82,21.28,24.6,90.59,25.47,7667,3758,2,596
扬中市,321182,9258,0,475.8,139184,11.87,249.82,214.11,34.21,1045,21.58,42407,22486,32.4,1019,388,415,5.12,7.96,10.11,34.63,11.3,3658,1461,1,321
句容市,321183,7553,0,468.5,75020,41.32,223.85,203.33,62.5,454,39.04,37548,21497,31.2,2498,688,1023,3.62,10.38,14,50.45,15.03,4090,2857,1,201
海陵区,321202,10195,251,461.08,96339,6.94,223.39,230.75,47.88,2017,29.02,35205,21774,0,0,0,0,0,0,0,0,0,0,0,0,0
高港区,321203,6099,228,377.67,149899,10.88,226.91,139.88,25.22,879,15.29,34382,21867,0,0,0,0,0,0,0,0,0,0,0,0,0
姜堰区,321204,9110,497,521.36,71400,36.62,246.75,237.99,73.04,787,44.28,34117,20142,0,0,0,0,0,0,0,0,0,0,0,0,0
兴化市,321281,8268,0,667.4,53186,93.62,268.49,305.29,125.5,524,76.12,31170,17798,31.4,2732,2192,429,9.27,16.37,23,91.38,19.62,4004,2633,1,246
靖江市,321282,11281,0,748.32,108973,20.55,384.08,343.69,68.69,1048,41.59,36790,24843,30.6,1326,1375,359,10.61,15.27,19.97,67.79,17.67,4390,1894,1,535
泰兴市,321283,10460,0,740.77,68768,49.1,357.97,333.7,107.72,921,65.37,33800,21117,26.4,2145,1971,468,10.6,18.31,27.65,89.7,21.81,5786,2795,1,319
宿城区,321302,7666,222,258.52,42360,20.24,99.2,139.08,80.78,881,45.43,24095,14990,0,0,0,0,0,0,0,0,0,0,0,0,0
宿豫区,321311,4394,257,230.06,51874,24.36,137.21,68.49,62.05,502,35.55,21741,14198,0,0,0,0,0,0,0,0,0,0,0,0,0
沭阳县,321322,18550,0,630.13,40719,81.68,293.28,255.17,154.3,671,90.22,22098,14770,38.1,3512,1665,1943,11.9,8.7,19.17,124.92,28.09,2967,1888,1,165
泗阳县,321323,7202,0,362.24,43072,52.74,185.31,124.19,83.7,607,49.13,21720,14021,35,1752,1096,462,6.26,4.56,9.97,67.52,14.19,2555,1135,1,287
泗洪县,321324,7897,0,361.32,40394,55.38,154.91,151.03,88.9,330,52.33,21191,14117,36.7,2448,2026,450,5.68,4.7,7.81,74.43,14.74,802,325,1,95
